bbsName,bbsSysop,newLogin,TelnetAddress,bbsPort,sshPort,WebAddress,location,Modem,software,country,state_province,software_clean
0Day BBS,,NEW,65.108.245.243,23.0,,,"Helsinki, , Finland",,Enigma 1/2,Finland,,Enigma 1/2
0xDECAFBAD BBS,,NEW,bbs.decafbad.com,6523.0,,,"Seattle, WA, USA",,Synchronet,USA,WA,Synchronet
13th Floor BBS,Hoy Brothers,new,13th.hoyvision.com,6400.0,,,"Oak Ridge, TN, USA",,Image BBS,USA,TN,Image BBS
13th Leader BBS,pjones1063,,13leader.net,8023.0,,http://13leader.net,"Vineland, Ontario, Canada",,Mystic,Canada,Ontario,Mystic
20 For Beers BBS,paul lee,Desired Handle,20forbeers.com,1337.0,1338.0,http://20forbeers.com:1339,"Portland, OR, USA",,Mystic,USA,OR,Mystic
300 F-ing Baud BBS,Gary Crunk,,300baud.dynu.net,2525.0,,,"Eloy, AZ, USA",,RYBBS,USA,AZ,Other
32-Bit BBS,Xbit Ops,Real Name,x-bit.org,23230.0,,http://x-bit.org/info/ftelnet/32bit_bbs.html,"Forest Grove, OR, USA",,Spitfire,USA,OR,Other
4 Wheel Ham BBS,w7jpj,NEW,bbs.4wheelham.com,,2222.0,http://4wheelham.com,"Littleton, CO, USA",,Synchronet,USA,CO,Synchronet
4D Telephonics,,Apply,45.77.78.120,8888.0,,,"Piscataway, NJ, USA",,Enigma 1/2,USA,NJ,Enigma 1/2
4D2 Dot Org,,NEW,bbs.4d2.org,,,,"Portland, OR, USA",,Synchronet,USA,OR,Synchronet
64 Vintage BBS,,,64vintageremixbbs.dyndns.org,6400.0,,http://www.digitaldial.us,"Miami, FL, USA",,Color 64,USA,FL,Other
68k Mac Club,Vaelen,new,bbs.m68k.club,,,http://m68k.club,"Machida, Tokyo, Japan",,SubText,Japan,Tokyo,Other
8-Bit Archive,,NEW,bbs.8-bitarchive.com,2223.0,,,"Vancouver, BC, Canada",,Synchronet,Canada,BC,Synchronet
8-Bit Boyz BBS,Shane O'Neill,Desired Handle,bbs.8bitboyz.com,6502.0,,http://8bitboyz.com,"Rio Rancho, NM, USA",,Mystic,USA,NM,Mystic
8-Bit Playground,Hoy Brothers,,8bit.hoyvision.com,6400.0,,http://www.hoyvision.com,"Antioch, TN, USA",,CNet DS2,USA,TN,Other
8Bit Club BBS,,NEW,bbs.8bitclub.com,6502.0,,,"Burgas, , Bulgaria",,Synchronet,Bulgaria,,Synchronet
A-Net Online (Game Server),StingRay,NEW,game.a-net-online.lol,513.0,,http://a-net-online.lol/gameserver,", GA, USA",,Synchronet,USA,GA,Synchronet
A-Net Online (Mystic),StingRay,Desired Handle,mystic-anet.online,,22.0,http://a-net.fyi,"Woodstock , GA, USA",,Mystic,USA,GA,Mystic
A-Net Online (Spitfire),StingRay,Real Name,sf.a-net.online,2323.0,,http://a-net.fyi,"Woodstock, GA, United States",,Spitfire,United States,GA,Other
A-Net Online (Synchronet),StingRay,NEW,a-net.online,23.0,22.0,http://a-net.fyi,"Woodstock, GA, USA",404-282-0600,Synchronet,USA,GA,Synchronet
A-Net Online (TWGS),StingRay,,game.a-net-online.lol,2002.0,,http://a-net.fyi,"Woodstock, GA, USA",,TWGS,USA,GA,Other
A-Net Online Beta BBS,StingRay,NEW,x.a-net.online,2323.0,22222.0,http://a-net-online.lol/x,"Woodstock, GA, USA",,Synchronet,USA,GA,Synchronet
A1 BBS,Mongo,NEW,a1bbs.ddns.net,,,,"SAN JOSE, CA, USA",,Synchronet,USA,CA,Synchronet
Abandoned StarDock TWGS,,Desired Handle,abandonedstardock.ddns.net,2002.0,,,"Sherman, TX, USA",,TWGS,USA,TX,Other
Absinthe BBS,aNACHRONiST,NEW,absinthebbs.net,1940.0,,http://absinthebbs.net,"Raleigh, NC, USA",,C-Net,USA,NC,Other
Abyss BBS,,NEW,bbs.abyssnode.net,23.0,,,"Buffalo, NY, USA",,YAWC,USA,NY,Other
Ace of Spades BBS,,NEW,chaotix.ddns.net,2323.0,,,"New Philadelphia, OH, USA",,Maximus,USA,OH,Other
Acid Underworld,Hawk Hubbard,Desired Handle,blackflag.acid.org,31337.0,,,"Hudson, FL, USA",,Mystic,USA,FL,Mystic
Adept Online Entertainment,Ragtop,,adeptbbs.com,23.0,,http://www.adeptbbs.com,"Louisville, KY, USA",,Worldgroup,USA,KY,Other
Aerodrome,Paul Lee,,theaerodromebbs.com,6502.0,,,"Ontario, CA, USA",,Apple II,USA,CA,Other
Agency BBS,Avon,new,agency.bbs.nz,23.0,2024.0,http://bbs.nz,"Dunedin, , New Zealand",,Mystic,New Zealand,,Mystic
Agon BBS,,NEW,krion.io,1337.0,,,"Rouen, , France",,Lightweight BBS,France,,Other
Aincrad BBS,,NEW,67.205.168.255,2323.0,,,"North Bergen, NJ, USA",,WWIV,USA,NJ,WWIV
Al's Geek Lab BBS,Alistair Ross,new,bbs.alsgeeklab.com,2323.0,2222.0,http://www.alsgeeklab.com,"Wellington, , New Zealand",,Mystic,New Zealand,,Mystic
